name,category,material,shape,x,y,z,w_or_r,d_or_axis,h,cutlist_part,lumber,note
Planer_Sled,panel,planer_sled,box,112.0,85.0,28.0,28.0,28.0,0.75,Planer sled (28 x 28 x 3/4),3/4 in plywood,Panel 28.0 x 28.0 x 0.75
Planer_LockReceiver,hardware,lock_recv,box,139.5,98.0,27.0,1.5,2.0,1.5,,,Lock receiver bracket. Pin engages here at top position.
Planer_Body_Working,tool,planer_body,box,113.0,88.0,33.0,26.0,22.0,17.0,,,DeWalt planer in working position - bed flush at 37in
Planer_Body_Stored_Ghost,ghost,ghost_cavity,box,113.0,88.0,4.5,26.0,22.0,17.0,,,Planer in stored/lowered position (ghost). Cover with insert panel.
Saw_Sled,panel,saw_sled,box,111.0,43.0,23.25,30.0,30.0,0.75,Saw sled (30 x 30 x 3/4),3/4 in plywood,Panel 30.0 x 30.0 x 0.75
Saw_SledCleat_Back,frame,blocking,box,110.0,42.0,21.75,32.0,3.5,1.5,Saw sled cleat (32in),2x4 SPF,"Horizontal 2x4, 32.0in long"
Saw_SledCleat_Front,frame,blocking,box,110.0,70.5,21.75,32.0,3.5,1.5,Saw sled cleat (32in),2x4 SPF,"Horizontal 2x4, 32.0in long"
Saw_SledCleat_Left,frame,blocking,box,110.0,45.5,21.75,3.5,25.0,1.5,Saw sled cleat (25in),2x4 SPF,"Horizontal 2x4, 25.0in long"
Saw_SledCleat_Right,frame,blocking,box,138.5,45.5,21.75,3.5,25.0,1.5,Saw sled cleat (25in),2x4 SPF,"Horizontal 2x4, 25.0in long"
Saw_Body,tool,saw_body,box,111.5,43.5,24.0,29.0,29.0,13.0,,,"DeWalt DWE7491 jobsite saw, stand removed, deck flush at 37in"
Saw_Deck,tool,saw_body,box,111.5,43.5,36.75,29.0,29.0,0.25,,,Saw cast deck - flush with bench top
Tall_Husky_40x18x36,cabinet,husky,box,40.0,17.0,0,40.0,18.0,36.0,,,"Tall Husky chest, slides in from front between miter and router"
Miter_Saw_Body_Ghost,ghost,ghost_cavity,box,3.0,5.0,33.0,30.0,24.0,12,,,DeWalt 10in miter saw body sitting in recess (ghost)
Router_Motor_Ghost,ghost,ghost_cavity,box,91.125,16.375,27.5,9.75,7.25,8,,,Router motor hanging from insert plate (ghost)
Planer_LockPin,hardware,lock_pin,cylinder,138.0,99.0,27.75,0.25,x,6.0,,,1/2in steel locking pin. POSITIVE engagement - do NOT rely on struts.
